Poste,Date,Timestamp,Categorie,Plaque
E10,2025-06-03,07:34:04,VL,5229 ZE 56
E10,2025-06-03,07:34:07,VL,AC-334-WR
E10,2025-06-03,07:34:41,VL,BC-210-RJ
E10,2025-06-03,07:34:43,VL,DM-544-HN
E10,2025-06-03,07:34:45,VL,BQ-990-NA
E10,2025-06-03,07:34:48,VL,FM-914-BZ
E10,2025-06-03,07:34:49,VL,EY-842-TW
E10,2025-06-03,07:34:51,VL,EH-571-TQ
E10,2025-06-03,07:34:54,PL,EC-759-YH
E10,2025-06-03,07:34:57,VL,FA-477-NQ
E10,2025-06-03,07:35:00,VL,T348BA*
E10,2025-06-03,07:35:02,VL,AS-010-DD
E10,2025-06-03,07:35:05,VL,AF-200-GC
E10,2025-06-03,07:35:07,VL,EZ-518-RS
E10,2025-06-03,07:35:09,VL,FW-278-DR
E10,2025-06-03,07:35:11,INCONNU,GL-472-QS
E10,2025-06-03,07:35:18,PL,GY-833-KX
E10,2025-06-03,07:35:21,INCONNU,DY-292-JY
E10,2025-06-03,07:35:49,VL,GF-892-XF
E10,2025-06-03,07:35:56,VL,GS-310-GF
E10,2025-06-03,07:35:57,VL,GH-455-BT
E10,2025-06-03,07:36:00,VL,DC-101-TX
E10,2025-06-03,07:36:02,VL,Y102KY*
E10,2025-06-03,07:36:04,VL,GN-121-AP
E10,2025-06-03,07:37:13,PL,EX-850-WV
E10,2025-06-03,07:37:14,VL,FC-682-ST
E10,2025-06-03,07:37:16,VL,GG-357-KS
E10,2025-06-03,07:37:18,PL,EJ-495-YZ
E10,2025-06-03,07:37:20,VL,DM-430-LD
E10,2025-06-03,07:37:22,VL,CX-961-AF
E10,2025-06-03,07:37:24,INCONNU,AH-973-BR
E10,2025-06-03,07:37:27,VL,AB-649-TL
E10,2025-06-03,07:37:30,VL,DN-605-PE
E10,2025-06-03,07:37:31,VL,066RR**
E10,2025-06-03,07:37:33,VL,FM-752-PS
E10,2025-06-03,07:37:35,VL,GV-148-VA
E10,2025-06-03,07:37:37,VL,AM-900-SA
E10,2025-06-03,07:37:41,VL,CE-625-CZ
E10,2025-06-03,07:37:42,VL,GT-937-RR
E10,2025-06-03,07:38:11,PL,DH-477-DD
E10,2025-06-03,07:38:13,VL,AL-288-SW
E10,2025-06-03,07:38:16,VL,GV-927-NP
E10,2025-06-03,07:38:17,VL,CY-182-YZ
E10,2025-06-03,07:38:21,BUS,GH-037-TD
E10,2025-06-03,07:38:25,VL,GW-681-RK
E10,2025-06-03,07:38:31,BUS,FT-116-ZF
